,glom_sizes,glom_diameters,glom_distance_to_closest_glom,glom_shape_circularity,glom_shape_eccentricity,glom_shape_elongation,glom_shape_solidity,glom_tuft_sizes,glom_tuft_shape_circularity,glom_tuft_shape_eccentricity,glom_tuft_shape_elongation,glom_tuft_shape_solidity,glom_bowman_sizes,glom_tufttocapsule_ratio
st80,1859.17,25.63,928.02,0.31,0.95,0.7,0.93,1027.03,0.69,0.89,0.54,0.98,832.13,0.552413173620486
st81,2135.94,25.77,591.21,0.09,0.81,0.41,0.64,701.37,0.33,0.66,0.24,0.85,1434.57,0.328365965336105
st82,4279.95,51.42,152.66,0.13,0.8,0.41,0.63,2642.75,0.15,0.79,0.38,0.69,1637.2,0.61747216673092
st83,2732.47,42.83,42.22,0.37,0.82,0.43,0.81,848.85,0.26,0.95,0.69,0.69,1883.62,0.31065299893503
st84,23275.99,114.87,97.05,0.28,0.8,0.4,0.86,13133.35,0.22,0.86,0.48,0.74,10142.64,0.564244528374518
st85,5450.15,66.77,592.22,0.4,0.7,0.28,0.9,1223.87,0.43,0.86,0.49,0.83,4226.28,0.224557122281038
st86,39164.54,185.67,308.16,0.62,0.45,0.11,0.95,31228.34,0.36,0.34,0.06,0.92,7936.2,0.797362614242373
st87,12258.23,106.74,162,0.55,0.45,0.11,0.93,3208.46,0.37,0.82,0.43,0.83,9049.77,0.261739255993728
st88,8774.14,93.82,307.91,0.58,0.47,0.12,0.95,5324.16,0.39,0.54,0.16,0.88,3449.98,0.60680135033177
st89,4051.85,58.86,162,0.59,0.69,0.28,0.97,2011.77,0.44,0.61,0.21,0.89,2040.08,0.496506534052346
st90,18251.46,138.93,74.65,0.67,0.27,0.04,0.96,8886.71,0.29,0.7,0.28,0.82,9364.75,0.48690406137372
st91,23014.23,138.41,229.31,0.69,0.74,0.32,0.95,12432.09,0.57,0.64,0.23,0.91,10582.13,0.540191438079831
st92,5546.01,75.14,61.79,0.57,0.37,0.07,0.96,1971.63,0.26,0.5,0.13,0.8,3574.38,0.355504227363456
st93,6015.86,72.54,61.79,0.58,0.65,0.24,0.92,2451.71,0.34,0.69,0.27,0.8,3564.14,0.40754106644769
st94,21839.25,146.08,405.63,0.74,0.66,0.25,0.98,14736.55,0.69,0.44,0.1,0.97,7102.7,0.674773630046819
st95,23874.9,142.92,70.06,0.62,0.7,0.29,0.97,16096.3,0.39,0.54,0.16,0.9,7778.6,0.674193399762931
st96,27780.75,152.9,158.42,0.62,0.73,0.32,0.95,19436.66,0.39,0.73,0.32,0.9,8344.08,0.699644897995914
st97,29467.98,150.21,70.06,0.55,0.82,0.43,0.95,21057.15,0.4,0.7,0.29,0.92,8410.83,0.714577314088037
st98,26738.48,147.15,636.33,0.62,0.59,0.19,0.94,20341.35,0.35,0.61,0.21,0.89,6397.13,0.760751920079227
st99,27267.8,144.56,889.52,0.53,0.72,0.31,0.94,19872.63,0.31,0.56,0.17,0.88,7395.17,0.728794768921585
st100,36970.27,175.48,270.9,0.55,0.58,0.19,0.96,9609,0.46,0.77,0.37,0.89,27361.27,0.259911545141542
st101,15630.43,125.64,277.18,0.6,0.52,0.15,0.95,6697.21,0.24,0.44,0.1,0.84,8933.22,0.428472537223864
st102,4138.38,62.11,215.84,0.76,0.64,0.23,0.96,2108.65,0.59,0.71,0.29,0.89,2029.73,0.509535132104833
st103,14342.77,120.05,133.15,0.83,0.59,0.19,0.98,10036.55,0.65,0.65,0.24,0.95,4306.22,0.699763713703838
st104,13111.74,100.52,215.84,0.67,0.8,0.4,0.96,6996.38,0.5,0.87,0.51,0.87,6115.36,0.533596608840627
st105,4882.73,65.09,133.15,0.62,0.71,0.3,0.96,1069.33,0.4,0.21,0.02,0.85,3813.4,0.219002484265974
st106,15744.03,125.53,98.02,0.75,0.61,0.2,0.97,10051.56,0.44,0.65,0.24,0.9,5692.47,0.638436283467448
st107,7986.12,91.88,98.02,0.76,0.35,0.06,0.96,4755.72,0.41,0.29,0.04,0.9,3230.4,0.595498189358537
