Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
DEAF1,linear up quadratic down,linear_quadratic,9.52939284033199E-90,-0.07,0.47,-0.04,1.69,0.97,59.01,6
TBC1D14,linear up,linear,2.5620562298736E-20,-0.07,0.47,0.21,0,0.47,2.64,5
COX7A1,linear up,linear,3.53813379894819E-12,-0.07,0.47,0.21,0,0.5,0.29,5
FRA10AC1,quadratic down,quadratic,0.000934152487181,-0.07,0.47,-0.2,0,0.65,13.96,1
SNED1,linear up quadratic down,linear_quadratic,6.29883120407574E-27,-0.07,0.47,-0.08,1.29,0.95,55.58,6
GTF2IRD2,linear up quadratic down,linear_quadratic,1.73931780250963E-28,-0.07,0.46,-0.05,1.55,0.97,58.86,6
MTHFD2L,linear up quadratic down,linear_quadratic,2.2612031756281E-08,-0.07,0.47,-0.17,0.3,0.84,36.23,1
VAPB,linear down,linear,0.003146342417178,-0.07,0.47,-0.19,0,0.49,0.77,2
DHX30,linear up,linear,4.65941301785155E-18,-0.07,0.47,0.21,0,0.49,0.92,5
HMGN1,linear up quadratic down,linear_quadratic,2.0012776673315E-09,-0.07,0.47,-0.12,0.79,0.9,47.94,1
ARPP19,linear up quadratic down,linear_quadratic,0.000274082371473,-0.07,0.46,-0.13,0.67,0.89,45.37,1
SPRED1,linear up quadratic down,linear_quadratic,0.016228526520765,-0.07,0.47,-0.15,0.41,0.86,38.96,1
CEP44,linear up quadratic down,linear_quadratic,5.80828705207044E-12,-0.07,0.46,-0.18,0.09,0.78,27.09,1
TOR1AIP1,linear down quadratic up,linear_quadratic,9.78088433771349E-05,-0.07,0.47,-0.13,-0.64,0.12,43.83,2
EIF3J,linear up quadratic down,linear_quadratic,9.58164760929268E-06,-0.07,0.47,-0.16,0.32,0.83,35.13,1
SLC33A1,linear up quadratic down,linear_quadratic,0.027860534723456,-0.07,0.47,-0.14,0.49,0.86,39.89,1
DDR2,quadratic up,quadratic,5.71617310717223E-27,-0.07,0.46,0.2,0,0.64,13.25,5
