,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance,sampleID,Time_score
288,49.53,2809.9,1.69,VALIGA_mhnhhiaij6,591
289,29.87,1148.48,1.39,VALIGA_mhnhhiaij6,591
290,34.82,1611.51,2.13,VALIGA_mhnhhiaij6,591
291,23.28,2497.08,6.08,VALIGA_mhnhhiaij6,591
292,48.72,3684.11,1.97,VALIGA_mhnhhiaij6,591
293,44.35,3600.3,1.39,VALIGA_mhnhhiaij6,591
294,28.36,896.38,2.05,VALIGA_mhnhhiaij6,591
295,19.6,679.76,1.43,VALIGA_mhnhhiaij6,591
296,18.1,424.48,23.13,VALIGA_mhnhhiaij6,591
297,28.72,2001.19,1.69,VALIGA_mhnhhiaij6,591
298,74.04,14418.16,1.69,VALIGA_mhnhhiaij6,591
299,34.39,1421.84,1.01,VALIGA_mhnhhiaij6,591
300,23.68,706.48,11.41,VALIGA_mhnhhiaij6,591
301,68.36,5255.48,1.22,VALIGA_mhnhhiaij6,591
302,43.3,2422.95,0.34,VALIGA_mhnhhiaij6,591
303,16.3,400.83,2.16,VALIGA_mhnhhiaij6,591
304,22.02,1635.5,8.34,VALIGA_mhnhhiaij6,591
305,10.47,236.06,16.22,VALIGA_mhnhhiaij6,591
306,22.9,480.88,5.74,VALIGA_mhnhhiaij6,591
307,20.12,684.54,1.91,VALIGA_mhnhhiaij6,591
308,27.92,771.19,1.82,VALIGA_mhnhhiaij6,591
309,59.23,4679.87,1.22,VALIGA_mhnhhiaij6,591
310,49.78,4176.82,3.47,VALIGA_mhnhhiaij6,591
311,14.31,277.23,5.33,VALIGA_mhnhhiaij6,591
312,11.54,214.46,5.74,VALIGA_mhnhhiaij6,591
313,43.84,3438.27,3.03,VALIGA_mhnhhiaij6,591
314,29.41,1320.63,3.32,VALIGA_mhnhhiaij6,591
315,14.84,361.83,11.23,VALIGA_mhnhhiaij6,591
316,40.42,5001.9,2.38,VALIGA_mhnhhiaij6,591
317,31.95,1170.42,5.33,VALIGA_mhnhhiaij6,591
318,13.9,224.01,9.78,VALIGA_mhnhhiaij6,591
319,73.47,5599.56,2.57,VALIGA_mhnhhiaij6,591
320,51.62,3644.65,3.95,VALIGA_mhnhhiaij6,591
321,14.79,289.17,2.72,VALIGA_mhnhhiaij6,591
322,50.99,3143.98,0.95,VALIGA_mhnhhiaij6,591
323,18.16,633.71,2.72,VALIGA_mhnhhiaij6,591
324,43.35,2043.95,3.05,VALIGA_mhnhhiaij6,591
325,37.04,2690.96,2.02,VALIGA_mhnhhiaij6,591
326,19.64,397.65,3.95,VALIGA_mhnhhiaij6,591
327,22.9,565.94,1.01,VALIGA_mhnhhiaij6,591
328,46.77,3657.39,0.34,VALIGA_mhnhhiaij6,591
329,16.59,530.35,0.34,VALIGA_mhnhhiaij6,591
330,70.52,8248.79,1.39,VALIGA_mhnhhiaij6,591
331,46.5,2213.49,7.29,VALIGA_mhnhhiaij6,591
332,63.13,5617.08,1.72,VALIGA_mhnhhiaij6,591
333,46.82,2174.94,2.57,VALIGA_mhnhhiaij6,591
334,25.68,1800.49,13.9,VALIGA_mhnhhiaij6,591
335,27.65,1225.57,2.02,VALIGA_mhnhhiaij6,591
336,14.73,832.93,2.86,VALIGA_mhnhhiaij6,591
337,20.95,472.58,8.15,VALIGA_mhnhhiaij6,591
338,58.19,4081.3,2.78,VALIGA_mhnhhiaij6,591
339,8.2,340.34,0.34,VALIGA_mhnhhiaij6,591
340,43.51,2563.83,1.51,VALIGA_mhnhhiaij6,591
341,66.15,7898.79,1.91,VALIGA_mhnhhiaij6,591
342,37.17,1968.79,1.97,VALIGA_mhnhhiaij6,591
343,45.55,2211.22,0.95,VALIGA_mhnhhiaij6,591
344,36.37,1649.94,5.8,VALIGA_mhnhhiaij6,591
345,17.17,450.18,7.87,VALIGA_mhnhhiaij6,591
346,15.51,388.32,0.34,VALIGA_mhnhhiaij6,591
347,65.84,6756.68,1.51,VALIGA_mhnhhiaij6,591
348,58.62,10075.1,1.72,VALIGA_mhnhhiaij6,591
349,12.16,372.97,21.61,VALIGA_mhnhhiaij6,591
350,49.79,7597.91,0.95,VALIGA_mhnhhiaij6,591
351,25.53,651.11,9.2,VALIGA_mhnhhiaij6,591
352,9.66,238.45,0.34,VALIGA_mhnhhiaij6,591
353,26.93,793.81,7.87,VALIGA_mhnhhiaij6,591
354,8.09,171.59,0.34,VALIGA_mhnhhiaij6,591
355,67.26,6799.1,0.95,VALIGA_mhnhhiaij6,591
356,11.47,185.12,2.86,VALIGA_mhnhhiaij6,591
357,54.56,4080.62,1.39,VALIGA_mhnhhiaij6,591
358,22.66,507.72,8.21,VALIGA_mhnhhiaij6,591
359,27.11,1064.79,5.16,VALIGA_mhnhhiaij6,591
360,22.09,1155.07,2.26,VALIGA_mhnhhiaij6,591
361,34.4,1993.23,1.91,VALIGA_mhnhhiaij6,591
362,19.64,769.82,4.38,VALIGA_mhnhhiaij6,591
363,45.78,2518.58,2.63,VALIGA_mhnhhiaij6,591
364,24.73,952.67,0.34,VALIGA_mhnhhiaij6,591
365,16.21,270.86,1.82,VALIGA_mhnhhiaij6,591
366,40.67,3225.17,1.82,VALIGA_mhnhhiaij6,591
367,15.26,253.12,2.26,VALIGA_mhnhhiaij6,591
368,53.4,3581.43,4.07,VALIGA_mhnhhiaij6,591
369,56.91,4974.16,1.91,VALIGA_mhnhhiaij6,591
370,60.99,4051.96,1.51,VALIGA_mhnhhiaij6,591
371,21.94,532.73,8.43,VALIGA_mhnhhiaij6,591
372,15.38,333.17,8.83,VALIGA_mhnhhiaij6,591
373,45.86,1960.83,9.5,VALIGA_mhnhhiaij6,591
374,24.32,605.85,8.04,VALIGA_mhnhhiaij6,591
375,24.21,685.45,12.48,VALIGA_mhnhhiaij6,591
376,51.89,3384.71,1.35,VALIGA_mhnhhiaij6,591
377,59.35,4374.67,2.38,VALIGA_mhnhhiaij6,591
378,30.14,959.49,3.02,VALIGA_mhnhhiaij6,591
379,16.59,446.66,0.34,VALIGA_mhnhhiaij6,591
380,18.52,437.67,18.82,VALIGA_mhnhhiaij6,591
381,35.07,1215.45,1.01,VALIGA_mhnhhiaij6,591
382,27.86,691.59,6.72,VALIGA_mhnhhiaij6,591
383,20.23,408.22,11.63,VALIGA_mhnhhiaij6,591
384,62.56,3271.45,1.72,VALIGA_mhnhhiaij6,591
385,61.19,10660.82,1.07,VALIGA_mhnhhiaij6,591
386,16.86,299.17,7.11,VALIGA_mhnhhiaij6,591
387,41.99,1991.64,1.91,VALIGA_mhnhhiaij6,591
388,22.62,537.85,3.03,VALIGA_mhnhhiaij6,591
389,28.36,813.49,10.98,VALIGA_mhnhhiaij6,591
390,46.71,2900.3,2.02,VALIGA_mhnhhiaij6,591
391,50.07,4368.31,0.67,VALIGA_mhnhhiaij6,591
392,44.95,2872.33,3.93,VALIGA_mhnhhiaij6,591
393,51.33,5892.71,1.51,VALIGA_mhnhhiaij6,591
394,19.29,385.48,4.06,VALIGA_mhnhhiaij6,591
395,73.51,6194.95,1.91,VALIGA_mhnhhiaij6,591
396,11.12,222.65,4.72,VALIGA_mhnhhiaij6,591
397,17.86,363.65,9.66,VALIGA_mhnhhiaij6,591
398,36.47,1766.95,3.2,VALIGA_mhnhhiaij6,591
399,22.9,1722.37,12.72,VALIGA_mhnhhiaij6,591
400,18.41,420.5,13.49,VALIGA_mhnhhiaij6,591
401,51.53,3202.43,1.07,VALIGA_mhnhhiaij6,591
402,33.07,1287.54,6.72,VALIGA_mhnhhiaij6,591
403,24.07,763.79,1.01,VALIGA_mhnhhiaij6,591
404,21.72,462.01,12.37,VALIGA_mhnhhiaij6,591
405,36.44,1960.14,1.72,VALIGA_mhnhhiaij6,591
406,18.16,447.11,6.74,VALIGA_mhnhhiaij6,591
407,16.59,626.89,3.77,VALIGA_mhnhhiaij6,591
408,32.37,1546.24,2.63,VALIGA_mhnhhiaij6,591
409,23.84,593.46,10.59,VALIGA_mhnhhiaij6,591
410,47.23,5121.64,0.95,VALIGA_mhnhhiaij6,591
411,29.81,1520.54,9.41,VALIGA_mhnhhiaij6,591
412,19.08,850.67,4.23,VALIGA_mhnhhiaij6,591
413,23.56,1239.79,0.67,VALIGA_mhnhhiaij6,591
414,43.42,2161.64,2.57,VALIGA_mhnhhiaij6,591
415,27.05,800.07,11.8,VALIGA_mhnhhiaij6,591
416,13.03,312.59,2.57,VALIGA_mhnhhiaij6,591
417,26.19,716.26,4.83,VALIGA_mhnhhiaij6,591
418,58.67,3915.62,5.89,VALIGA_mhnhhiaij6,591
419,17.65,711.94,3.03,VALIGA_mhnhhiaij6,591
420,20.24,704.66,1.07,VALIGA_mhnhhiaij6,591
421,38.58,2538.48,1.39,VALIGA_mhnhhiaij6,591
422,16.91,447.22,3.93,VALIGA_mhnhhiaij6,591
